alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
166,,DC11 manual invalid,2,,
167,,DC1 output fault,2,,
168,,DC2 output fault,2,,
169,,DC3 output fault,2,,
170,,DC4 output fault,2,,
171,,DC5 output fault,2,,
172,,DC6 output fault,2,,
173,,DC7 output fault,2,,
174,,DC8 output fault,2,,
175,,DC9 output fault,2,,
176,,DC10 output fault,2,,
177,,DC11 output fault,2,,
178,,CA1V OVER ALARM,2,,
179,,CA2V OVER ALARM,2,,
180,,CA3V OVER ALARM,2,,
181,,CA4V OVER ALARM,2,,
182,,CA5V OVER ALARM,2,,
183,,CA6V OVER ALARM,2,,
184,,CA7V OVER ALARM,2,,
185,,CA8V OVER ALARM,2,,
186,,CA9V OVER ALARM,2,,
187,,CA10V OVER ALARM,2,,
188,,CA11V OVER ALARM,2,,
189,,CA1V UNDER ALARM,2,,
190,,CA2V UNDER ALARM,2,,
191,,CA3V UNDER ALARM,2,,
192,,CA4V UNDER ALARM,2,,
193,,CA5V UNDER ALARM,2,,
194,,CA6V UNDER ALARM,2,,
195,,CA7V UNDER ALARM,2,,
196,,CA8V UNDER ALARM,2,,
197,,CA9V UNDER ALARM,2,,
198,,CA10V UNDER ALARM,2,,
199,,CA11V UNDER ALARM,2,,
200,,CA1 over temp,2,,
201,,CA2 over temp,2,,
202,,CA3 over temp,2,,
203,,CA4 over temp,2,,
204,,CA5 over temp,2,,
205,,CA6 over temp,2,,
206,,CA7 over temp,2,,
207,,CA8 over temp,2,,
208,,CA9 over temp,2,,
209,,CA10 over temp,2,,
210,,CA11 over temp,2,,
211,,CA1 water flow alarm,2,,
212,,CA2 water flow alarm,2,,
213,,CA3 water flow alarm,2,,
214,,CA4 water flow alarm,2,,
215,,CA5 water flow alarm,2,,
216,,CA6 water flow alarm,2,,
217,,CA7 water flow alarm,2,,
218,,CA8 water flow alarm,2,,
219,,CA9 water flow alarm,2,,
220,,CA10 water flow alarm,2,,
221,,CA11 water flow alarm,2,,
222,,DC1 water flow alarm,2,,
223,,DC2 water flow alarm,2,,
224,,DC3 water flow alarm,2,,
225,,DC4 water flow alarm,2,,
226,,DC5 water flow alarm,2,,
227,,DC6 water flow alarm,2,,
228,,DC7 water flow alarm,2,,
229,,DC8 water flow alarm,2,,
230,,DC9 water flow alarm,2,,
231,,DC10 water flow alarm,2,,
232,,DC11 water flow alarm,2,,
233,,CA1 target life message,2,,
234,,CA2 target life message,2,,
235,,CA3 target life message,2,,
236,,CA4 target life message,2,,
237,,CA5 target life message,2,,
238,,CA6 target life message,2,,
239,,CA7 target life message,2,,
240,,CA8 target life message,2,,
241,,CA9 target life message,2,,
242,,CA10 target life message,2,,
243,,CA11 target life message,2,,
244,,DC1  Arc ALARM,2,,
245,,DC2  Arc ALARM,2,,
246,,DC3  Arc ALARM,2,,
247,,DC4  Arc ALARM,2,,
248,,DC5  Arc ALARM,2,,
249,,DC6  Arc ALARM,2,,
250,,DC7  Arc ALARM,2,,
251,,DC8  Arc ALARM,2,,
252,,DC9  Arc ALARM,2,,
253,,DC10  Arc ALARM,2,,
254,,DC11  Arc ALARM,2,,
255,,DC1  Overload ALARM,2,,
256,,DC2  Overload ALARM,2,,
257,,DC3  Overload ALARM,2,,
258,,DC4  Overload ALARM,2,,
259,,DC5  Overload ALARM,2,,
260,,DC6  Overload ALARM,2,,
261,,DC7  Overload ALARM,2,,
262,,DC8  Overload ALARM,2,,
263,,DC9  Overload ALARM,2,,
264,,DC10  Overload ALARM,2,,
265,,DC11  Overload ALARM,2,,
266,,CHB2 RF POWER ALARM,2,,
267,,CHB1 VENT OVERTIME,2,,
268,,CHB2 VENT OVERTIME,2,,
269,,CHB3 VENT OVERTIME,2,,
270,,CHB4 VENT OVERTIME,2,,
271,,IN EMG ENABLE,2,,
